Date,Snp,Gold,Oil
2018-11-29,2737.800049,1224.099976,51.450001
2018-11-30,2760.169922,1220.199951,50.93
2018-12-03,2790.370117,1233.900024,52.950001
2018-12-04,2700.060059,1241.099976,53.25
2018-12-06,2695.949951,1238.099976,51.490002
2018-12-07,2633.080078,1246.800049,52.610001
2018-12-10,2637.719971,1243.699951,51
2018-12-11,2636.780029,1241.900024,51.650002
2018-12-12,2651.070068,1244.400024,51.150002
2018-12-13,2650.540039,1242.699951,52.580002
2018-12-14,2599.949951,1237,51.200001
2018-12-17,2545.939941,1247.400024,49.880001
2018-12-18,2546.159912,1249.199951,46.240002
2018-12-19,2506.959961,1252.099976,47.200001
2018-12-20,2467.419922,1263.599976,45.880001
2018-12-21,2416.620117,1253.800049,45.59
2018-12-24,2351.100098,1253.800049,45.59
2018-12-26,2467.699951,1269.199951,46.220001
2018-12-27,2488.830078,1277.300049,44.610001
2018-12-28,2485.73999,1279.900024,45.330002
2018-12-31,2506.850098,1278.300049,45.41
2019-01-02,2510.030029,1281,46.540001
2019-01-03,2447.889893,1291.800049,47.09
2019-01-04,2531.939941,1282.699951,47.959999
2019-01-07,2549.689941,1286.800049,48.52
2019-01-08,2574.409912,1283.199951,49.779999
2019-01-09,2584.959961,1289.300049,52.360001
2019-01-10,2596.639893,1284.699951,52.59
2019-01-11,2596.26001,1287.099976,51.59
2019-01-14,2582.610107,1289.099976,50.509998
2019-01-15,2610.300049,1286.199951,52.110001
2019-01-16,2616.100098,1291.599976,52.310001
2019-01-17,2635.959961,1291,52.07
2019-01-18,2670.709961,1281.300049,53.799999
2019-01-22,2632.899902,1282.5,52.57
2019-01-23,2638.699951,1283.099976,52.619999
2019-01-24,2642.330078,1279.099976,53.130001
2019-01-25,2664.76001,1297.400024,53.689999
2019-01-28,2643.850098,1302.400024,51.990002
2019-01-29,2640,1308.199951,53.310001
2019-01-30,2681.050049,1309.900024,54.23
2019-01-31,2704.100098,1319.699951,53.790001
2019-02-01,2706.530029,1316.900024,55.259998
2019-02-04,2724.870117,1314.300049,54.560001
2019-02-05,2737.699951,1314.199951,53.66
2019-02-06,2731.610107,1309.5,54.009998
2019-02-07,2706.050049,1309.400024,52.639999
2019-02-08,2707.879883,1313.699951,52.720001
2019-02-11,2709.800049,1307,52.41
2019-02-12,2744.72998,1309.199951,53.099998
2019-02-13,2753.030029,1310.800049,53.900002
2019-02-14,2745.72998,1309.800049,54.41
2019-02-15,2775.600098,1318.099976,55.59
2019-02-19,2779.76001,1340.099976,56.09
2019-02-20,2784.699951,1343.300049,56.919998
2019-02-21,2774.879883,1323.5,56.959999
2019-02-22,2792.669922,1329.199951,57.259998
2019-02-25,2796.110107,1325.900024,55.48
2019-02-26,2793.899902,1325.099976,55.5
2019-02-27,2792.379883,1317.699951,56.939999
