DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
2146,Kerala-2-21-10,15.5,0.4,237,0,3.5,44,83.6,25,0,0,193
2147,Kerala-2-21-4,14,0.4,185,0,3.5,45,73,25,0,0,195
2148,Kerala-2-21-5,13.5,0.3,177.333,0,2.5,36,59,17,0,0,337
2149,Kerala-2-21-6,10,0.32,156,0,3,38,69,21,0,0,185
2150,Kerala-2-21-7,7,0.24,152,0,2,25,53,14,0,0,198
2151,Kerala-2-21-8,7.5,0.2,119,0,2,25,47,14,0,0,70
2152,Kerala-2-21-9,15.5,0.4,229,0,3.5,44,77.6,25,0,0,79
2163,Kerala-2-23-1,7.2,0.2,76,0,1.75,15,7.28,1.5,0,0,12395
2164,Kerala-2-23-10,40.5,1.01,294.667,0,9.5,90,35,5,0,0,12365
2165,Kerala-2-23-2,13,0.3,95.333,0,3,25,31.6,3,0,0,16150
2166,Kerala-2-23-3,17,0.4,126.666,0,3.5,36,18.2,1.5,0,0,22480
2167,Kerala-2-23-4,17.5,0.44,133.334,0,3.5,40,17.2,2,0,0,15720
2168,Kerala-2-23-5,17,0.4,136,0,3.5,35,17.2,2,0,0,12225
2169,Kerala-2-23-6,20.5,0.5,178.666,0,6,45,70,5,0,0,26540
2170,Kerala-2-23-7,41,1.01,337.333,0,10,90,66,5,0,0,44840
2171,Kerala-2-23-8,33,0.81,266.667,0,7.5,75,38.4,6,0,0,14695
2172,Kerala-2-23-9,57,1.42,412,0,12.5,110,84,6,0,0,21300
2173,Kerala-2-6-1,23.3,0.8,518.633,0,14.25,89,135.06,11.7,918,0,3240
2174,Kerala-2-6-10,7.9,0.28,208.833,0,5.75,31,43.74,0,204,0,3360
2175,Kerala-2-6-2,16.2,0.569,401.333,0,14.5,60,85.18,3.5,178.5,0,720
2176,Kerala-2-6-3,15.3,0.36,334.003,0,8.5,39,70.5,0,204,0,305
2177,Kerala-2-6-4,10,0.32,222.5,0,7,34,30.2,0,357,0,934
2178,Kerala-2-6-5,14,0.48,363,0,6.5,56,64.1,0,0,0,570
2179,Kerala-2-6-6,9.2,0.27,224.083,0,5,30.2,54.12,0.5,306,0,1875
2180,Kerala-2-6-7,22.7,0.82,648.834,0,16.75,91,87.44,18.25,1122,0,5760
2181,Kerala-2-6-8,5.3,0.24,135.5,0,5,23,12,2.2,0,0,585
2182,Kerala-2-6-9,16.4,0.56,416.166,0,10.25,60,85.98,9.15,510,0,1506
2183,Kerala-2-7-1,16.15,0.3,348.834,0,7,32,42.32,3.75,0,0,1050
2184,Kerala-2-7-10,14.74,0.28,343.666,0,5,30,31.5,8,0,0,2250
2185,Kerala-2-7-2,7,0.14,186.666,0,2.75,15,12.02,5,0,0,612
2186,Kerala-2-7-4,7.15,0.14,177.167,0,3,14,20.8,5,0,0,1740
2187,Kerala-2-7-9,14.35,0.28,305.334,0,5,40,22.28,6,0,0,6225
